Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage  Method,Link to Coverage,Comment
"Privileged Architecture
Section 3.1.11, 3.1.13",Hardware Performance Monitor,Count inhibit,mcountinhibit of mcycle stops count,"When mcountinhibit[0] is set to 1, the mcycle counter should stop counting and always return the same value",Self Checking Test,Directed Self-Checking,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.counters_cg.x_check_mcycle,
,,,mcountinhibit of minstret stops count,"When mcountinhibit[2] is set to 1, the minstret counter should stop counting and always return the same value",Check against ISS,Directed Self-Checking,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.counters_cg.x_check_minstret,
,,,mcountinhibit of mhpmcounterX stops count,"When any of mcountinhibit[3:31] is set to 1 (particularly, even if the corresponding counter has an mhpmevent enabled) then the counter should stop counting and always return the same value",Check against ISS,Directed Self-Checking,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.cg_idx_wrapper_*.mhpm_cg.x_check_mhpm,
,,,mcountinhibit on mcycle/minstret doesn't stop mhpmcounterX,"When inhibit is set for mcycle and/or minstret, then event selection should still be able to make mhpmcounters count for those selectors",Check against ISS,Directed Self-Checking,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.cg_idx_wrapper_*.inhibit_mix_cg.x_check_*,
,,mcycle,Counts the number of clock cycle executed by the processor core.,Check that executing a set of instructions leads to mcycle having advanced the right amount (within some tolerance),Self Checking Test,Directed Self-Checking,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.counters_cg.x_check_mcycle,
,,,,"When enabled the count advances with each valid gated clock
",Assertion Check,Constrained-Random,Assertion Coverage,,
,,minstret,Counts the number of instructions the hart has retired.,Check the value of the counter. Exercise it with different sequence of instructions.,Check against ISS,Constrained-Random,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.counters_cg.x_check_minstret,
,,,,Read of minstret returns current instruction count. This property could use the RVFI to validate,Assertion Check,Constrained-Random,Assertion Coverage,,
,,"mhpmcounter3-mhpmcounte31

mhpmevent3-mhpmevent31","Additional 64-bits event counters mhpmcounter3-mhpmcounte31.
The event selector CSR mhpmevent3-mhpmevent31 control which event causes the corresponding counter to increment.
The meaning of these events is defined by the platform. Event ""0"" is defined to mean ""no event"".
","Specific checks in the Directed Test:
- Check that the event 0 means no event.
- Check different combinations of events and counters.
- Check that if multiple events happen at the same cycle, only increment +1.
- Check all events can individually, separately increment counter.
- Use parameter NUM_MHPMCOUNTERS to increase counters to maximum and randomly check if counters are implemented/counting
- mcountinhibit always stops counting for any counter
",Self Checking Test,Directed Self-Checking,Testcase,"hpmcounter_basic_test.c

hmpcounter_hazard_test.c",
,,Overflow,"For each counter, its two 32-bit registers works as one 64-bit register",Counter overflows from lower counter mhpmcount to upper counter mhpmcounth (most important to test is mcycle[h] and minstret[h]),Assertion Check,Constrained-Random,Assertion Coverage,,
,,,,Counter overflows from all ones in both mhpmcount and mhpmcounth to zero (most important to test is mcycle[h] and minstret[h]),Assertion Check,Constrained-Random,Assertion Coverage,,
