Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage
UM 0e447ac,Regions,Valid number of regions,There shall be between 0 and 16 PMA regions configured.,Assert that highest numbered PMA region < 16 (assuming 0-indexed),Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,Configuration to be tested,0 Regions - Deconfigured,"Test configuration 1, aims to verify the following:
1. Default parameters for entire memory range",Any/All,"ENV capability, not specific test",N/A,
,,,"1 Region: 
R[0]: 0x0000_0000-0xFFFF_FFFF (MBCA = 1111)

MBCA = M(ain memory)
             B(ufferable)
             C(acheable)
             A(tomic operations allowed)

","Test configuration 2, aims to verify the following:
1. System configured with 1 PMA region only
2. Full address range of maximum size
3. Upper/Lower bounds for first region set to min/max values",Any/All,"ENV capability, not specific test",N/A,
,,,"1 Region: 
R[0]: 0x0000_0000-0x7FFF_FFFF (MBCA = 1111)","Test configuration 3, aims to verify the following:
1. Correct functionality for 1 defined region
2. Correct behavior for undefined regions when a region is defined",Any/All,"ENV capability, not specific test",N/A,
,,,"7 Regions:
R[0]: 0x0000_0000-0x1FFF_FFFF (MBCA = 1111)
R[1]: 0x2000_0000-0x3FFF_FFFF (MBCA = 1101)
R[2]: 0x4000_0000-0x5FFF_FFFF (MBCA = 0101)
R[3]: 0x6000_0000-0x9FFF_FFFF (MBCA = 1001)
R[4]: 0xA000_0000-0xDFFF_FFFF (MBCA = 0101)
R[5]: 0xE000_0000-0xE00F_FFFF (MBCA = 0000)
R[6]: 0xE010_0000-0xFFFF_FFFF (MBCA = 0101)","Test configuration 4, aims to verify the following:
1. A standard memory map (Based on ARM Cortex)
2. A fully defined, contiguous memory map with no undefined regions
3. Multiple, non-overlapping regions",Any/All,"ENV capability, not specific test",N/A,
,,,"16 Regions:
R[0]:   0x4800_0000-0x49FF_FFFF (MBCA = 1011)
R[1]:   0x4400_0000-0x4BFF_FFFF (MBCA = 0001)
R[2]:   0x3ACE_0000-0x4ABC_FFFF (MBCA = 0100)
R[3]:   0x3600_A000-0x4F99_FFFF (MBCA = 1111)
R[4]:   0x3420_C854-0x5000_ABFF (MBCA = 1101)
R[5]:   0x3100_FCAB-0x5000_BCCA (MBCA = 1001)
R[6]:   0x3000_1353-0x5140_FFFF (MBCA = 0000)
R[7]:   0x2C5A_3200-0x52FF_FFFF (MBCA = 0101)
R[8]:   0x2A00_0000-0x56FF_FFFF (MBCA = 1111)
R[9]:   0x2340_000A-0x600F_FFFF (MBCA = 0001)
R[10]: 0x2000_0000-0x63FF_FFFF (MBCA = 0101)
R[11]: 0x13AC_AA55-0x7FFF_FFFF (MBCA = 1011)
R[12]: 0x1000_000F1-0x82FF_FFFF (MBCA = 1101)
R[13]: 0x0500_0000-0x8459_FFFF (MBCA = 0100)
R[14]: 0x0200_0000-0xEFFF_FFFF (MBCA = 0000)
R[15]: 0x0000_A000-0xFFFE_FFFF (MBCA = 1111)","Test configuration 5, aims to verify the following:
1. Region match priority
2. Maximum number of separate areas in memory (33)

Address may be modified to better suit implementation and verification enviornment, but the following criteria must be met:
1. Each defined region must be enclosed by the adjacent region of lower priority
2. No region boundaries must overlap
3. There shall be undefined space prior to and aft of largest, highest numbered region
",Any/All,"ENV capability, not specific test",N/A,
,,,"16 Regions:
R[0]:   0x0001_0000-0x001F_FFFF (MBCA = 1001)
R[1]:   0x0030_0000-0x04FF_FFFF (MBCA = 1111)
R[2]:   0x1000_0000-0x1001_0000 (MBCA = 0100)
R[3]:   0x1800_1234-0x18FF_AB21 (MBCA = 0000)
R[4]:   0x2020_0010-0x2FFF_0000 (MBCA = 0001)
R[5]:   0x3100_A000-0x32FF_FFFF (MBCA = 1111)
R[6]:   0x3440_0000-0x3800_FFFF (MBCA = 0100)
R[7]:   0x4AAA_F000-0x4C00_FFFF (MBCA = 1101)
R[8]:   0x4D00_5555-0x4FFF_ABCD (MBCA = 1011)
R[9]:   0x5100_0000-0x52FF_FFFF (MBCA = 0000)
R[10]: 0x5400_0000-0x5FFF_FFFF (MBCA = 1111)
R[11]: 0x6300_0000-0x6700_FFFF (MBCA = 0101)
R[12]: 0xA000_0000-0xAFFF_FFFF (MBCA = 1001)
R[13]: 0xBC00_0000-0xBCFF_FFFF (MBCA = 1101)
R[14]: 0xC000_0000-0xDFFF_FFFF (MBCA = 0001)
R[15]: 0xE700_EF00-0xE9FF_FFFF (MBCA = 0101)","Test configuration 6, aims to verify designs with the following characteristic:
1. Non-contiguously defined maximum number of memory regions
2. Maximum number of separate areas In memory (33)
3. No overlap, single matching regions
4. Non-defined areas prior and aft of each defined region

Address map may be modified to better suit actual implemetations, but the above criteria must be adhered to.",Any/All,"ENV capability, not specific test",N/A,
,,,"16 Regions:
Note: Zero length regions are intentional
R[0]:   0x0000_0000-0x0000_0000 (MBCA = 0000)
R[1]:   0x5555_5555-0x5555_5555 (MBCA = 0000)
R[2]:   0x0000_0000-0x0000_0000 (MBCA = 0000)
R[3]:   0xAAAA_AAAA-0xAAAA_AAAA (MBCA = 0000)
R[4]:   0xCCCC_CCCC-0xCCCC_CCCC (MBCA = 0000)
R[5]:   0x0000_0000-0x0000_0000 (MBCA = 0000)
R[6]:   0xE38E_E38E-0xE38E_E38E (MBCA = 0000)
R[7]:   0x0000_0000-0x0000_0000 (MBCA = 0000)
R[8]:   0xFFFF_FFFF-0xFFFF_FFFF (MBCA = 0000)
R[9]:   0x0000_0000-0x0000_0000 (MBCA = 0000)
R[10]: 0x9249_2492-0x9249_2492 (MBCA = 0000)
R[11]: 0x0000_0000-0x0000_0000 (MBCA = 0000)
R[12]: 0xDB6D_B6DB-0xDB6D_B6DB (MBCA = 0000)
R[13]: 0x0000_0000-0x0000_0000 (MBCA = 0000)
R[14]: 0x1249_2492-0x1249_2492 (MBCA = 0000)
Only one non-zero region:
R[15]: 0x0000_0000-0xFFFF_FFFF (MBCA = 1111)","Test configuration 7, aims to verify the following:
1. Zero length regions does not match any accesses
2. Upper/Lower bound of outlier (last) region set to min/max of address range

Address map may be modified to better suit actual implementations, but R[15] must be defined to min/max possible address range. Remaining regions shall have 0 length.
",Any/All,"ENV capability, not specific test",N/A,
,,Coverpoints,Instruction fetch coverpoint,Region index or default IO unmapped region crossed with passing instruction fetch,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Load instruction coverpoint,Region index or default IO unmapped region crossed with passing load instruction,Check against RM,"ENV capability, not specific test",Functional Coverage,
